,duration_ms,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
459,230306,0,0.398,0.284,-12.852,0.0337,0.966,8.57e-05,0.116,0.114,109.599,pop
465,193733,1,0.637,0.834,-4.686,0.323,0.614,0.0,0.317,0.715,87.312,hip hop
470,202013,0,0.523,0.795,-2.92,0.0386,0.00462,0.0,0.358,0.484,144.106,pop
476,221226,1,0.571,0.739,-6.11,0.247,0.00865,5.21e-06,0.158,0.66,83.089,hip hop
477,185133,0,0.739,0.999,-5.077,0.0803,0.13,0.00224,0.28,0.501,139.982,pop
479,242413,1,0.414,0.936,-2.407,0.0758,0.00136,0.0,0.369,0.74,170.229,pop
480,240040,0,0.512,0.525,-6.823,0.0401,0.327,3.3e-06,0.081,0.294,169.951,pop
484,223506,1,0.657,0.734,-4.832,0.484,0.149,0.0,0.139,0.434,91.03,hip hop
495,296880,1,0.52,0.768,-3.489,0.359,0.0193,0.00034,0.104,0.398,79.178,hip hop
496,189506,0,0.345,0.0581,-17.217,0.0374,0.976,0.000366,0.103,0.304,174.117,pop
497,217440,0,0.505,0.799,-4.286,0.0773,0.0572,0.0,0.11,0.772,174.001,pop
498,214733,0,0.641,0.445,-8.674,0.0368,0.145,0.0,0.108,0.383,81.931,pop
502,207626,1,0.629,0.696,-5.572,0.348,0.0195,0.0,0.0554,0.623,93.034,hip hop
505,209493,1,0.675,0.479,-9.87,0.0278,0.633,1.76e-05,0.088,0.454,81.998,pop
508,233640,0,0.599,0.785,-4.013,0.0309,0.448,0.00336,0.151,0.52,140.046,pop
509,238493,0,0.878,0.699,-5.897,0.132,0.0345,3.37e-06,0.755,0.666,104.838,pop
510,337733,0,0.649,0.647,-7.695,0.0452,0.0039,0.161,0.0686,0.405,125.02,pop
512,168879,0,0.86,0.907,-3.321,0.0407,0.279,0.693,0.0648,0.786,138.045,pop
513,265480,1,0.646,0.796,-6.152,0.366,0.409,0.0,0.107,0.676,83.093,hip hop
527,205733,1,0.687,0.793,-4.254,0.166,0.0603,0.0,0.582,0.751,107.045,hip hop
529,222640,0,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,hip hop
531,235800,1,0.629,0.532,-7.88,0.0352,0.331,0.0,0.238,0.619,90.098,pop
